Name,Score
Amanda Davis,93
Susan Ward,62
Logan Wallace,99
Donald Garcia,55
Shannon Ellis,71
Anthony Crawford,93
Ronald Browning,81
Timothy Howard,98
Cynthia West,65
Chad Conrad,72
Ronald Carrillo,60
Randy Jones,51
Elizabeth Dudley,93
Michael Sanchez,90
Derrick Thomas,89
Kevin Adkins,88
Taylor Le,65
Mr. Christopher Graham,84
Jorge Wilson,66
Bryce Baldwin,94
Mark Ward,67
Mark Pacheco,85
Katrina Carter,71
Brandon Mitchell,61
Amanda Barber,56
Bruce Flores,57
Tara Pena,89
Kimberly Williams,75
Anna Ramirez,67
Lindsay Chandler,98
Carly Johnson,85
Christina Robbins,95
Madeline Conley,50
David Hatfield,55
Philip Fischer,50
Lisa Neal,98
Eric Cervantes,94
Cheryl Howard,64
Robert Brown,75
Kristin Adams,67
Lisa Garrison,90
Matthew Wallace,98
Brent Patton,96
Greg Ross,64
Lindsay Estrada,82
Joseph Cook,90
Amanda Perez,63
Joshua Johnson,83
George Olson,66
Philip Bennett,65
Mark Gross,62
John Weeks,54
Darren Arnold,97
Andrew Patterson,60
Erin Walker,80
Rebecca Graham,94
Terry Gibbs,80
Ashley Beck,90
Ashley Bates,97
Monique Miller,92
Jerome Mcpherson,58
Jason Nguyen,64
Penny Williams,83
Andrea Norman,51
Pamela Collins,94
Tammy Potts,99
Emily Davis,86
Robert Fuller,62
Monica Schmidt,65
Teresa Long,53
Derek Jones,84
Heidi Cardenas,66
Julie Smith,65
Brian Romero,87
Julie Walker,81
Nicholas Morales,79
Jeremy Kennedy,96
Amy Kerr,97
Christopher Garner,80
Michelle Norman,88
David Smith,75
Michele Gonzalez,77
Jennifer Murillo,54
John Hicks,54
Lindsey Allen,66
Jessica Washington,50
Debra Baker,53
Kristina Jacobs,98
Christopher Rodriguez,95
Seth Cooke,62
Anthony Cummings,66
James Graham,66
Beth Brown,61
Barry Garcia,76
Mindy Porter,85
Valerie Cox,67
Deborah Mitchell,76
Debra Lynn,63
Malik Michael,95
James Campbell,50
Manuel Robinson,98
Alex Johnson,80
Leslie Rice,59
Renee Contreras,57
Matthew Henson,56
Aaron Lee,57
Aaron Sandoval,100
Ms. Carol Randall,72
Steven Stewart,98
Troy Hernandez,55
Lindsey Johnson,82
Mrs. Crystal Lucas,75
Tyler Kim,51
Emily Wilson,66
Trevor Murray,83
Jason Morris,71
Jennifer Brewer,74
Laura White,70
Susan Parks,67
Ryan Booth,77
James Thomas,84
John Garcia,86
Jacob Boyd,80
William Compton,76
Lauren Simpson,68
Kyle Gray,92
Nicholas Duncan,53
Stephanie Solis,74
Latoya Gomez,66
Kyle Wilkinson,63
David Deleon,71
Mark Page,75
Kathryn Shelton,60
Rhonda Gardner,70
Kayla Flores,61
Michael Chase,88
Ethan Jones,72
Christine Ramirez,51
Amanda Smith,96
Diane Fisher,54
Brittany Lewis,78
Marvin Rios,69
Rachael Malone,60
Michael Arellano,92
George Smith,76
Ralph Morgan,99
Theresa Lewis,86
Tanya Miles,94
Kevin Krueger,50
Brianna Rodriguez,54
Samuel Hernandez,99
Paul Parker,76
Mandy Lozano MD,85
Johnny Mccarty,52
Jerry Mitchell,85
Shelby Travis,80
Megan Allison DDS,90
Stephanie Shaw,96
Holly Clark,57
Sherri Mcdaniel,95
Rachel Simpson,66
Catherine Burke,74
Jeffery Elliott,54
Jodi Fleming,61
Rhonda Fowler,89
Valerie Lawrence,92
Melissa Rogers,97
Daniel Parker,87
Cindy Wheeler,80
Brandi Snyder,77
Jennifer Fritz,84
Robert Hardy,91
Phillip Mills,60
Michael Walters,58
Rachel Morales MD,64
Danielle Anderson,53
Evan Lozano,94
Mike Hunt,74
Maria Young,93
Francisco Griffin,66
James Cooper,53
Cynthia Reyes,95
James Campbell,66
Angela King,53
Gabriel Farmer,72
Michaela Dominguez,77
Patrick Fields,97
Martin Stone,58
Karen Fitzpatrick,89
Michael Guzman,79
Jose Oliver,58
Jeff Green,86
Melissa Clark,83
Robert Burns,79
Matthew Castillo,73
Joel Young,68
Jacob Holmes,67
Joshua Ritter,83
Maria Dunlap,72
Heather Medina,66
Sandra Garcia,51
Terri Duke,70
Shawn Mueller,82
Michael Olson,91
Joseph Key,53
Kathy Knapp,72
Nathaniel Wilson,56
Briana Steele,53
Kaitlyn Love,55
Erica Yates,72
Shelly Jones,81
Tiffany Harrell,98
Jennifer Miller,86
Victoria White,64
Christine Williams PhD,83
Brent Hurley,72
Eric Davis,62
Alexandra Olson,81
Dr. Joseph Brown,53
Richard Tanner,58
Michelle Malone,86
Samantha Joseph,98
Stephanie Cooley,50
Ashley Byrd,70
Daniel Heath,54
Brianna Hanson,78
Shannon Williams,75
Veronica Li,63
Deborah Robinson,67
Jennifer Coleman,54
Sandra Harris,63
Christopher Rubio,98
Linda Owens,54
Robert Hodges,51
Tyler Ray,61
Martha Jones,100
Haley Davenport,51
Ryan Bray,81
Stephanie Love,56
Jacqueline Morse,66
Zachary Stokes,77
Brittany Goodman,58
Lee Levine,65
Stanley Contreras,70
Emily Payne,99
Heather Nelson,80
Richard Brown,85
Catherine Miller,83
Abigail Richardson,79
David Anderson,68
Randall Suarez,50
Patricia Alvarado,66
Elizabeth Blevins,100
Alexis Molina,91
Andrea Martinez,74
Paige Powers,64
Hannah Lopez,58
Anthony Richard,71
Eric Sanchez,73
Janice Jordan,77
Tara Vaughan,69
Karina Smith,88
Joseph Gray,88
Brian Harper,92
Erika Parks,61
Amanda Hernandez,94
Matthew Anderson,96
Michael Curtis,58
Christopher Gray,89
Donna Kennedy,90
Jeff Parrish,63
Danielle Cole,69
Robert Anthony,89
Adam Robertson,74
Scott Foley,62
Caitlyn Bowman,97
Anne Walker,74
Alan Curry,66
Scott Cox,91
Michael Medina,50
James Martinez,93
Colin Marshall,90
Katherine Valentine,57
Terry Clayton,75
Daniel Burke,78
Renee Wright,99
David Patterson,79
Robert Schmidt,82
Rebecca Welch DVM,91
Angela Atkinson,57
Brittney Garcia,83
Kent Taylor,100
Jessica Cardenas,80
David Nunez,84
Ashley Hart,54
Ernest Wallace,76
Cynthia Arroyo,75
Cynthia Davis,92
Alexandra Phillips,76
Luke Davidson,75
Victoria Murphy,87
James Cannon,52
William Clark,100
Brenda Nelson,60
Steven Adams,67
Michelle Simon,69
Donald Stuart,88
James Williams,89
Charles Johnson,73
Jenna Graham,96
Alexis Holder,99
Kelly Tanner,90
Dawn Ramirez DDS,69
Jordan Garcia,70
Sean Jones,53
Morgan Chapman,66
Jasmin Mcpherson,96
Tammy Brown MD,67
Jerry Jenkins,87
Andrea Garcia,70
Lori Harris,81
Vincent Spencer,78
Heather Cohen,63
Jennifer Watts,71
Ann Roberts,68
Douglas Larson,78
Gabriel Hopkins,54
Cheryl Watson,83
Christopher Stewart,86
Theresa Cruz,62
Drew Kelley,53
Lisa Jones,61
Teresa Holden,100
Anne Henson,62
Ryan Watson,83
Tracy Cain,100
Lisa King,90
Sherry Colon,60
Shannon Wilson,84
Mark Colon,70
Robert Reyes,68
Jennifer Gardner,54
Karina Adams,59
Kathryn Brooks,96
Danielle Norman,50
Jennifer Cooper,63
Lindsey Lamb,81
Jamie Hernandez,73
Jennifer Castro,68
Robert Kerr,60
Mark Lara,65
Shelly Cowan,79
Steve Smith,63
Samuel Vega,59
Cory Vazquez,67
Veronica Campbell,61
Jose Koch,78
Brittany Meyer,51
Gary Pena,62
Allison Chavez,79
Steven Lopez,65
Jodi Bush,79
Sara Davis,95
Daniel King,95
Laurie Bennett,78
Paul Day,87
Alisha Ewing,60
Randall Carter,80
Aaron Johnson,71
Ana Patterson,99
Angel Mitchell,58
Tammy Olsen,90
Mr. William Mathis,95
Amanda Porter,96
Michelle Maldonado,60
Dr. Gary Maynard DVM,88
Chris Eaton,62
Katherine Clark,96
Brianna Robinson,83
Jessica Meyers,54
Adam Hurst,89
Cody Bowman,66
Rebecca Fowler,80
Willie Hall,61
Rebecca Vasquez,59
Lisa Carter,70
Brian Lang,69
Lee Diaz,86
Cassie Hendricks,94
Beth Riddle,64
Wyatt Schroeder,81
Steven Jackson,53
Sherry Allen,71
Jennifer King,75
Samuel Walker,77
Karen Garza,89
Tracy Moore,64
Alison Floyd,65
Yolanda Miller,56
Debra Ramirez,53
Steve Pearson,81
Tony Mendez,73
Nicole Dennis,78
Bradley Carney,50
Cynthia Munoz,90
Matthew Phillips,67
Jessica White,78
Pamela Simmons,61
Meghan Thomas,94
Matthew Avila,61
Danielle Thomas,100
Cynthia Garcia,95
Angela Jimenez,58
Brian Crawford,81
Nathan Park,65
Nicole Joseph,84
Matthew Jordan,86
Mr. Michael Johnson,60
Danny Wilson,78
John Washington DDS,85
Nicole Jackson,55
Holly Henderson,80
Jose Johnson,51
Jeffrey Thornton,85
Alison Maxwell,91
Donald Watson,77
Victoria Dodson,52
Joshua Moody,60
Richard Beck,77
Brian Arnold,52
Jill Aguilar,64
Christine Sanchez,87
Miss Martha Carpenter,96
Diane Holmes,92
Courtney Little,51
Rachel Higgins,93
Katherine Ballard,93
Lisa Zimmerman,79
Robert Harris,73
Greg Smith,62
Rachel Ferguson,77
Ryan Miller,64
Anthony Ferguson,61
Brittany Stone,85
Mrs. Destiny Morrison DVM,76
Larry Williams,99
James Kennedy,85
Matthew Reynolds,79
James Miller,76
Sara Paul,96
Charles Sanchez,100
Adam Russell,79
Shane Bradford,72
Christopher Crosby,73
Benjamin Long,63
Monica Wright,56
Lori King,50
Blake Ward,51
William Carney,100
Danny Nguyen,59
Sarah Hernandez,84
Amy Thompson,62
Allison Brown,69
Michelle Davis,93
Elizabeth Vargas,100
James Calhoun,74
Patrick Douglas,89
Veronica Williams,76
Cassandra Lopez,90
Jennifer Ibarra,77
Dylan Young,70
Amy Gray,69
Kristi Rodriguez,56
Carol Knight,65
Kathleen Brooks,77
Jared Mays,71
Cassandra Richardson,74
Sarah Hill,67
Tamara Fowler,73
Jeffrey Brown,64
Sarah Johnson,62
Catherine Vincent,97
Elizabeth Martin,52
Katherine Sandoval,99
Jose Garcia,68
Aaron Martin,88
Sean Roth,84
Kristen Alexander,75
Jennifer White,95
Emily Rodriguez,90
Curtis Young,78
Vincent Cox,81
Richard Edwards,57
Jennifer Brown,57
Trevor Olson,87
Carla Weiss,99
Timothy Griffith,93
Karen Gray,99
Dr. Melissa Hanson,64
Jason Gross,69
James Underwood,97
Leslie Thomas,87
Beth Jones,72
Beth Mcdonald,56
Michael Watson,72
Mary Larson,71
David Church,95
Ann Cohen,80
Jaime Smith,56
Melanie Lindsey,63
Dr. Reginald Hall,98
Thomas Howard,59
Crystal Parsons,90
Michael Gordon,90
Erin Brooks,58
Eric Taylor,83
Robert Freeman,76
Mark Sherman,58
Nathan Nguyen,72
Victoria Martin,50
Allison Mahoney,80
Jamie Stewart,67
Sharon Smith,90
Jeanne Murphy,51
Michelle Floyd,93
Julie Wheeler,55
Curtis Orr,71
Mason Williams,71
Crystal Brady,78
Larry Barnett Jr.,90
Andrea Saunders,73
Jacqueline Martin,76
Kelly Stanley,90
Kelly Torres,97
Stephanie Allen,79
Robert Marks,90
Katrina Hurst,79
Joseph Reyes,68
Louis Butler,95
David Wong,62
David Taylor,55
Leah Schneider,98
Justin James,93
Raymond Collins,78
Brandon Flynn,60
Stacy Livingston,81
Brian Miller,99
William Green,84
Melinda Mcknight,60
Eric Andrews,53
Heather Richardson,56
Scott Alexander,96
Mrs. Teresa Mayer MD,93
Gregory Hartman,75
Marvin Mitchell,53
Tonya Smith,62
Christopher Newman,71
Brandon Garcia,98
Deborah Taylor,94
Diana Johnson,93
Javier Ferguson,61
Felicia Gardner,53
William Villarreal,50
Nathaniel Baker,79
Monica Roberts,76
Anthony Cain,79
Jill Hendrix,98
Cassandra Smith,97
Jordan Miller,95
David Robinson,69
Janet Turner,57
Melanie Adams,63
Nathan Richards,89
Steven Pratt,62
Kerri Byrd,90
Joseph Gutierrez,67
Bruce Cross,68
Justin Robinson,69
Lisa Sanchez,85
Natalie Cooper,82
William Carrillo,64
Jay Johnson,62
Timothy Allen,83
Jesse Chen,79
Amy Ortiz,80
Jacob George,81
Amanda Wall,90
Richard Taylor,64
David Smith,99
Jessica Watkins,70
Kristi Ware,69
Erika Sharp,71
Jennifer Smith,74
Molly Rodriguez,63
John Sanchez,89
Marc Lewis,53
Rebecca Ward,89
Sarah Castillo,88
Mark Miller,50
Andrea Vasquez,52
Brianna Lewis,51
Michelle Torres,80
Keith Williams,63
Robert Garza,96
Nancy Brooks,91
Jeremy Thomas,99
Cheryl Castro,90
Carol Pearson,75
April Davis,75
James Martinez,75
Travis Parrish,57
Ashley Ward,95
Karina Coleman,64
Jesus Grant,87
Mary Henry,60
Matthew Bennett,97
Shawn Simpson,53
Kevin Williams,85
Dana Vargas,54
Alexandra Marshall,59
Nicole Bryant,79
Kim Hernandez,68
Alex Drake,67
Tiffany Boone,55
John Garcia,98
Jenna Walsh,92
Erica Briggs,53
Douglas Pierce,82
Michael Rice,56
Cassandra Cummings,57
Eric Simpson,60
Brittney Moore,84
Robert Roberts,68
Matthew Decker,74
Jessica Robinson,80
Mary Collins,66
Jennifer Wilkins,98
Amanda Miller,93
Ashley Rivera MD,98
Andrea Cooper,98
Rachel Dawson,96
Joseph Benton,51
Cory Stephens,76
Deanna Glenn,54
Mitchell Williams,93
Mr. Evan Davis,55
Jennifer Wilson,91
Greg White,69
Ana Winters,53
Steven Long,88
Tammy Zimmerman,59
Laura Campbell,51
Colton Gomez,62
Patricia Cardenas,52
Zachary Anderson,69
Corey Sutton,86
Destiny King,83
Michael Nguyen,52
Grace Perry,85
Mary Clark,68
Mario Bennett,87
Ryan Escobar,60
Samuel Rodriguez,55
Manuel King,67
Michael Jones,91
Scott Cruz,77
Steven Nguyen,71
Patricia Peterson,77
Mark Shea,70
Aimee Underwood,67
William Austin,83
Dawn Ellis,58
Ronnie Smith,65
Mitchell Brooks,81
Mitchell Franklin,89
Stephanie Lozano,55
Charles Mathews,81
Samuel Edwards,52
James Wilson,60
Debra Harris,82
Paul King,96
Michael Ward,71
Kristen Brown,67
Melissa Walsh,98
James Kelly,54
Emily Oconnell,55
Donald Preston,70
Isaiah Jones,73
Danielle Rhodes,51
Lance Mcgrath,64
Marie Walker,65
Allen Hunter,75
Eric Adams,89
Jessica Edwards,54
Nicholas King,98
Tara Barnes,57
Melissa Brooks,79
Eric Fields,100
Sonya Reilly,57
Derrick Zamora,64
Daniel Collins,55
Melissa Torres,99
Susan Bell,73
David Fernandez,93
Randy Haas,86
Benjamin Foster,51
Elizabeth Smith,100
Francisco Wilson,80
Daniel Barrett,79
Jesse Cook,75
Joseph Jackson,90
Richard Montgomery,73
Christine Ellis,91
Jason Parker,52
Carl Campbell,73
Martin Welch,75
Ashley Ross,74
Rachel Bell,91
Daniel Meyer,97
Jackie Jensen,50
Randall Williamson,95
Dan Chavez,100
Miguel Johnston,79
Brandon Oneill,59
Oscar Cisneros,59
Matthew Johnson,79
Wendy Schmitt,53
Timothy Garcia,85
Nancy Ramirez,72
Diane Brown,85
Brianna Chambers,63
Amanda Wade,52
Thomas Vasquez,76
William Wright,93
Courtney Perkins,57
Mr. Christopher Pena,52
James Zamora,64
Jessica Arias,51
Carlos Johnson,89
Alexander Pineda,74
Tracy Williams,79
Jason Lee,97
Lisa Campbell,85
Joseph Clements,59
Timothy Rodriguez,51
Angel Turner,89
Wesley Wade,61
Christina Porter,96
Kelly Lindsey,96
Amy Barron,89
Michael Lynn,63
Robert Herrera,82
Debbie Roach,78
Edward Hopkins,65
Amy Nichols,61
Diana Gilbert,82
Kristen Briggs,70
Cathy Gomez PhD,82
Lisa Peterson,52
Trevor Juarez,75
Michael Thomas,50
Mr. Michael Stanley PhD,58
Charles Anderson,64
Elizabeth Davis,53
Matthew Roberts,99
William Washington,89
Brittany Jenkins,84
Melanie Frederick,91
Ashley James,77
Brent Becker,63
Jessica Mercado,50
Rebecca Cisneros,67
Ms. Kristy Gordon MD,70
Sue Mendez,53
Meagan English,76
Amber Brown,78
Robert Thornton,65
Zachary Davis,75
Barbara Moore,70
James Francis,67
Karen Dyer,81
Kathryn Phillips,100
Jonathan Jones,92
Albert Swanson,64
Rebecca Henry,98
Amanda Little,85
Tyler Morgan,62
Julie Cross,93
Ronald Jones,74
Gabriel Preston,68
Patrick Hawkins,70
Miranda Bryan,64
Miss Sarah Montgomery MD,99
Joshua Todd Jr.,84
Charles Evans,93
Laura Carter,82
John Ruiz,51
Amanda Jackson,75
Laura Mack,50
David Peters MD,83
Blake Bailey,57
Stacy Turner,80
Alyssa Griffith,68
Kelly Warner,74
Jonathan Clements,65
Mr. Robert Kent,93
Harold Schaefer,91
Karen Love,69
Jeffrey Parker,94
Michael Hughes,53
Roger Roach,57
John Armstrong,100
Mr. Donald Sharp MD,85
David Espinoza,67
Cody Evans,64
Jacqueline Cooley,66
Jennifer Bartlett,70
Brittney Johnson,70
Andrew Brown,93
Kimberly Armstrong,75
Melissa Pena,99
Michelle Owen,95
Brooke Villanueva,97
Jessica Jones,51
Timothy Gonzalez,62
Henry Anderson,56
Katrina Gibson,77
Travis King,76
Sean Watkins,82
Blake Fox,77
Tina Barajas,83
Kelly Richardson,100
Tiffany Moore,50
Wendy Black,52
Blake Wright,74
Brittney Ferguson,83
Austin Jacobs,77
Anthony Harrison,84
Jordan Kramer,70
Dylan King,75
Patrick Stokes,93
Mrs. Judy Reynolds,100
Kevin Hudson,100
Patricia Parker,78
Krystal Cannon,70
Christina Marks,75
Tracy Hall,82
Jessica Paul,83
Kristen Blackwell,68
Mr. Mark Foster,66
Jessica Jackson,61
Jacob Yu,83
Jason Burch,87
Melissa Vega,64
Ruth Zhang,56
Catherine Jones,64
Henry Morales,78
Alexander Ramirez,100
David Berry,99
James Johnson,84
Kimberly Snow,94
Jamie Townsend,77
Sharon Patton,67
Linda Hendricks,83
Keith Nguyen,69
Ashley Duncan,59
Travis Carpenter,58
Michael Shepard,88
Terry Lewis,54
Michelle Coleman,83
Gerald Barron,98
Mrs. Tara Fernandez,75
Hayley Love,51
Edward Barrett,74
Julie Smith,53
Larry Davis,65
Jodi Lamb,58
Courtney Krueger,61
David Lang,89
Robert Noble IV,51
John Carter,64
James Hernandez,55
Aaron Bennett,59
Gary Anderson,92
Matthew Coleman,51
Jacqueline Walker,89
Jeffery Weber,72
Karen Conley,50
Samantha Davis,79
Christopher Chavez,95
Omar Sexton,95
Briana Ramirez,61
Carlos Clay,77
Daniel King,92
Jennifer Anderson,94
Tammy Price,72
Jose Sanchez,77
Shelley Jones,69
Kristen Lowe,78
Aaron Parsons,84
Samantha Cortez,93
Anne Cox,67
Michelle Hall,70
Terry Shepard,94
Lance Alvarez,78
Melissa Green,63
Kenneth Green,83
Tammy Juarez MD,70
Christina Taylor,60
William Christian MD,82
Charles Mitchell,72
Elizabeth Morgan,85
Christine Miller,68
Matthew Johnson,62
Tanya Perez,75
Ray Smith,67
Andrew Osborne,57
Monica Cisneros,81
Vincent Hill,65
Adrian Howell,65
Sharon Shaw,57
Ann Bennett,100
Grace Stevenson,81
Michelle Potter,100
Peter Anderson,94
Robert Cunningham,97
Rachael Wallace,65
Teresa Meadows,71
Heather Mcdonald,60
William Conrad,76
Veronica Drake,71
Max Gray,90
Jeanette Vega,83
Nicole Krause,65
Toni Ross,72
Bethany Henry,89
Mark Gilbert,92
Anthony Johnson,64
Daniel Schmidt,98
Karen Whitney,92
Jerry Simmons,70
Danielle Evans,72
Brett Jordan,97
John Morrow,51
Renee Jones,52
Gerald Campbell,95
Derrick Anderson,52
Jennifer Martinez,51
Catherine Krueger,71
Sean Hebert,63
Casey Black,89
Victoria Shaw,96
Jennifer Chambers,96
Andrew Stevens,56
Jeffrey Smith,97
Brian Welch,60
Erica Murray,61
Erik Taylor,99
Douglas Smith,66
John Palmer,50
Samantha Butler,62
Keith Contreras,83
Tiffany Davis,85
Courtney Garza,64
Tara Carter,88
Amy Mcdaniel,74
William Campbell,50
Laura Hurst,94
Elizabeth Hall,64
David Brown,65
Anthony Soto,60
Barbara Jimenez,85
Terri Hunter,95
Amber Johnson,50
Justin White,67
Scott Rowe,51
Alexis Jones,80
Amanda Beck,52
Colleen Fields,72
Thomas Wright,64
Jordan Mclaughlin,76
Sarah Salazar,83
Ashley Carroll,92
Shawn Butler,75
Beth Bishop,82
Deanna Booth,96
Tracey Duran,88
Jeremy Taylor,91
Johnathan Watts,89
Sheri Thompson,71
Craig Jackson,100
James Bennett,51
Tina Solis,93
Michelle Allen,75
Ronnie Ramirez,74
Dr. Jeremy Perez MD,100
Kenneth Marshall,94
Samantha Lopez,94
Joann Leon,87
Holly Bailey,74
Paul Francis,53
Jonathan Mosley,85
Joseph Robinson,91
Justin Davidson,96
Margaret Perkins,78
Sierra Mcclain,64
Brandi Leach,82
John Palmer,84
Lisa Swanson MD,55
Jimmy Dodson,56
David Brady,81
Donald Alexander,54
Natasha Vega,81
Logan Hendrix,59
Jamie Preston,52
Susan Ferguson,85
James Bean,68
Erin Morgan,77
Shannon Hodge,88
Michelle Adams,96
Matthew Hall,88
Hunter Nicholson,67
Daniel Arellano,74
Susan Mata,60
Ian Harris,61
Roy Andrews,89
Jared Ellison,91
Jasmin Martinez,91
Amanda Chavez,81
Jason Evans,60
Miguel Goodman,75
Jo Doyle,53
Jeffrey Davila,54
Samuel Yates,90
Scott Russo,60
Dawn Cooper,61
Harry Banks,59
Matthew Terry,52
Andrea Bryant,59
Glenda Stokes,83
Julia Wilson,88
Jake Bauer,82
Crystal Kim,89
Suzanne Tanner,59
Daisy Johnson,68
Caitlin Mitchell,79
Allen Espinoza,88
Jacob Knight,74
Destiny Cobb,99
Heather Lee,52
Diane Romero,68
Michelle Fisher,88
Courtney Mcgee,73
Amy Wu DDS,73
David Blackburn,88
Lindsey Love MD,86
Ashley Strong,73
Douglas George,50
Dennis Kerr,66
Robert Gray,60
Kristen Phillips,79
Melvin Pope,97
Nicholas Gonzalez,74
Katie Wolf,52
Sandra Thomas,92
Stephen Walker,51
Alan Estrada,70
Joshua Oconnell,70
Sharon Sanchez,55
Amber Andrews,69
James Foster,55
Michael Simmons,61
Jacob Smith,52
April Wallace,87
Kenneth Smith,86
John Smith,75
Angela Sandoval,97
Mathew Richard,55
Stacy Jensen,94
Melissa Scott,65
Julia Porter,63
Arthur White,76
Dylan Meyers,70
Charles Gonzalez,57
David Bryant,78
Cheryl Rose,73
Jacqueline Cline,70
Karina Warren,78
Mary Lee,93
Stephanie Mullen,81
David Smith,75
David Brown,80
Charles Clark,58
James Cox,61
Daniel Hammond,60
Loretta Chavez,92
Brandon Silva,94
Leslie Mcdonald,53
Erin Baxter,71
Gregory Gibson,58
Stacey Navarro,69
Alexis Castillo MD,59
John Walker MD,56
Jerry Romero,91
Jessica Carr,87
Connie Mcpherson,68
James Clark,84
Carolyn Young DDS,53
Alexandria Wilson,70
Jason Hawkins,100
Kathleen Pratt,64
James Rodriguez,55
Thomas Moore,88
Peter Pugh PhD,63
Tony Beard,69
Julie Simmons,97
Lynn Rogers,67
Kimberly Woodard,74
Jaclyn Dawson,66
Michael Duran,83
Julia Ortiz,65
Lori Curry,73
Tonya Romero,59
Joy Frey,97
Debra Serrano,75
Edward Watkins,66
Kevin Parker,98
Robert Allen,62
Jonathan Barnes,95
Alexander Thomas,70
Lance Johns,94
Mrs. Kelly Fields MD,78
Christopher Brown,72
Paul Gonzalez,96
Christopher Johnson,94
Angel Phillips,57
Joseph Powell,57
Darrell Gregory,79
Brittany Richards,89
Gina Black,73
Elizabeth Mills DDS,71
Mary Graves,86
Pamela Simmons,77
Allison Roberson,84
Devin Moreno,74
Sarah Jackson,84
Rose Sanchez,94
Jamie Mahoney,94
Richard Barker,92
Lisa Torres,81
Brian Patel,53
Nathan Zuniga,100
Stephanie Jones,63
Jordan Young,96
Mitchell Wade,62
Sarah Wilson,80
Jason Anderson,69
Brett Reed,55
Kimberly Robbins,54
Joseph Wilson,100
Paul Turner,85
Sandra Frank,72
Marie Marquez,99
Scott Moore,54
Michael Johnson,95
Corey Pittman,52
Ryan Foster,78
Cassandra Clark,57
Eugene Salazar,87
Mr. Brandon Nelson Jr.,81
Bethany Kelly,63
Katelyn Thomas,78
Christopher Haas,92
Catherine Briggs,66
Jay White,70
Ricky Jennings,77
John Vasquez,64
Jason Petty,93
Daniel Villarreal,86
Joshua Faulkner,91
Amy Parker,64
Amy Hernandez,54
Alicia Rivas,66
Emily Roberts,55
Amber Nguyen,64
Kristin Rodriguez,93
Sean Bailey,98
Gary Johnson,62
Lisa Parker,93
Jeremy Adams,98
Jennifer Campbell,94
Dr. Casey Zavala DDS,83
Rose Wong,99
Kimberly Olson,92
Richard Scott,89
Diane Smith,83
Thomas Munoz,86
Jason Jimenez MD,80
Joseph Swanson,68
Tonya Henry,86
Patrick Snyder,87
Kevin Baxter,86
Shelby Taylor,95
Janice Knight,81
Deborah Campbell,62
Cynthia Wilson,89
Mariah Allen,80
Kevin Nielsen,77
Tamara Williams,56
Deborah White,74
Justin Chavez,69
Kara Watkins,84
Karen Huynh,82
Mr. Sean Lee,98
Jeffrey Dawson,83
Francisco Fisher,92
Victoria Gregory,83
Justin Thompson,85
John Brown,78
Diana Butler,58
Gail Santiago,96
Richard Vaughn,69
Sean Porter,65
Ms. Yolanda White,65
Chad Alexander,88
James Herman,73
Bobby Sullivan,97
Deborah Moreno,72
Caleb Watkins,92
Amanda Duke,50
Anne Roman,63
Robert Jackson,100
Christopher Thompson,68
Frederick Brown,76
Kristina Hicks,58
Michelle Bond,90
Daniel Christian,86
William Dickson,69
Jessica Johnson,77
Sheri Douglas,69
Matthew Mays,98
Cory Green,87
Terrence Murphy,87
Gregory Banks,66
Daniel Gardner,61
Carrie Perkins,65
Christopher Le,91
Christine Murphy,50
Stacey Tyler,73
Jeffrey Young,69
Amanda Kelley,100
Jeffrey Escobar,82
Robert Arnold,79
Terry Barry,93
Cindy Mills,61
Lisa Smith,62
Luke King,92
Joseph Davis,94
Colton Johnson,62
Michael Sanders,71
Christie Sosa,100
Maurice Griffin,73
Christopher Craig,77
Edwin Ortiz,62
Derek Mccarthy,57
Steven Lam,76
Ashley Anderson,82
Matthew Kline,82
Alicia Rodriguez,96
Thomas Key,81
Erin Campbell,88
Kelly Weber,77
Michelle Porter,86
Wesley Welch,68
Luke Ferguson,68
Willie Harris,83
Darryl Montoya,83
Logan Meza,62
Christopher Jensen,52
Kimberly Thomas,84
Stephanie Strickland,64
Gary Lewis,76
Martin White,69
Chad Turner,76
Misty Harrison,64
Steven Charles II,88
Angela Mckee,73
Keith Dixon,99
Todd Washington,52
Maria Jones,67
Andrew Diaz MD,67
Katelyn Collins,95
Danielle Arnold,66
Andrew Ferguson,100
Brandon Blanchard,84
Jenna Rodriguez,68
Steve Christensen,67
Roger Miranda,63
Timothy Johnson,52
Tony Morris,95
Robert Saunders,71
Heather Spencer,82
Robin Dennis,93
Lisa Rodriguez,51
Chad Martinez,96
Kyle Johnson,59
Ryan Jones,50
Diana Martin,97
Joseph Allen,76
Theresa Randolph,57
Virginia Spencer,63
Christopher Dunn,96
Oscar Hopkins,51
Logan Valencia,97
Benjamin Bridges,73
Devon Hartman,82
Nathan Olson,75
Michael Blair,57
Michael Oneal,57
Luis Hall,81
Rebecca Smith,64
Austin Park,88
Bradley Williams,99
David Ortiz,85
Jacob Francis,95
Stephen Perez,72
Kimberly Garcia,85
Adam Bowers,88
Jose Molina,53
Colleen Price,99
David Miller,60
Michael Huang,63
Morgan Estrada,66
Jeffrey Moreno,92
Elizabeth Phillips,96
Jesus Thomas,52
Aaron Frazier DDS,85
Amber Ware,98
April Gill,88
Christopher Mason,62
Kristina Garcia,68
Stephanie Cardenas,58
Gina Ortiz,96
Sarah Riley,61
Gabriel Ellis,95
